,name,bday,name_sp,num_of_child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp,age_diff,age,age_spouse,name_sp_cl,year_m,year_div,name_sp_sp_cl,year_m_sp,year_div_sp,num_of_child_cl,num_of_child_sp_cl,name_sp_cl,num_of_m,name_sp_sp_cl,num_of_m_sp,num_of_role,num_of_role_sp,geohash,geohash_sp,zodiac,zodiac_sp,geo_distance ,sex,divorce
149,Ashley Benson,1989-12-18,,,,Actress model,"Anaheim Hills, Anaheim, California , U.S.",,,,,,,29.380480091993675,,,,,,,,,,,,,,2.0,,9qh28d3,,11.0,,,F,
150,Jodi Benson,1961-10-10,Ray Benson ( m.  1984),2,,"Actress, voice actress, singer","Rockford, Illinois , U.S.",,,,,,,57.56997063594735,,['Ray Benson'],[1984],,,,,2.0,,['Ray Benson'],1.0,,,4.0,,dp88kx5,,9.0,,,F,0.0
151,Julie Benz,1972-05-01,John Kassir ( m.  1998;  div.  2007) Rich Orosco  ( m.  2012),,,Actress,"Pittsburgh ,  Pennsylvania , United States",1957-10-24,"Baltimore ,  Maryland ,  U.S.","Actor, voice actor, comedian",Julie Benz ( m.  1998;  div.  2007),,14.519120858060056,47.01260121699966,61.53172207505972,"['John Kassir', 'Rich Orosco']","[1998, 2012]",[2007],['Julie Benz'],[1998],[2007],,,"['John Kassir', 'Rich Orosco']",2.0,['Julie Benz'],1.0,1.0,4.0,dppn59u,dqcx88s,4.0,10.0,5003530.0,F,1.0
152,Candice Bergen,1946-05-09,Louis Malle ( m.  1980; died 1995) Marshall Rose  ( m.  2000),1,,"Actress, fashion model","Beverly Hills, California , U.S.",1932-10-30,"Thumeries ,  Nord , France","Film director ,  screenwriter ,  producer",Anne-Marie Deschodt ( m.  1965;  div.  1967) Candice Bergen  ( m.  1980),3,13.52252270751624,72.99260080631362,86.51512351382985,"['Louis Malle', 'Marshall Rose']","[1980, 2000]",,"['Anne Marie Deschodt', 'Candice Bergen']","[1965, 1980]",[1967],1.0,3.0,"['Louis Malle', 'Marshall Rose']",2.0,"['Anne Marie Deschodt', 'Candice Bergen']",2.0,3.0,6.0,9q5ccdz,u0fpjt0,4.0,10.0,20000000.0,F,1.0
153,Polly Bergen,1930-07-14,Jerome Courtland  ( m.  1950–1955) Freddie Fields  ( m.  1957–1975) Jeffrey Endervelt ( m.  1982–1990),2 adopted children 1 stepchild,,"Actress, singer, writer, entrepreneur","Knoxville, Tennessee , U.S.",1926-12-27,"Knoxville, Tennessee , U.S.",Actor,"Polly Bergen  (1950-1955) (divorced) Janet Rose Gumprecht (1955-?) (divorced), 5 children Marlene Juttner (1984-2012) (his death)",,3.5455895740501173,88.81222749269321,92.35781706674332,"['Jerome Courtland', 'Freddie Fields', 'Jeffrey Endervelt']","[1950, 1957, 1982]",,,,,,,"['Jerome Courtland', 'Freddie Fields', 'Jeffrey Endervelt']",3.0,,,4.0,1.0,dnkkd66,dnkkd66,6.0,0.0,118.0,F,1.0
154,Elizabeth Berkley,1972-07-28,Greg Lauren  ( m.  2003),1,,Actress,"Farmington Hills, Michigan , U.S.",1970-01-06,"New York City , U.S.","Actor, painter",Elizabeth Berkley  ( m.  2003),1,2.5572051445272663,46.77166540038468,49.32887054491194,['Greg Lauren'],[2003],,['Elizabeth Berkley'],[2003],,1.0,1.0,['Greg Lauren'],1.0,['Elizabeth Berkley'],1.0,1.0,2.0,dps9ybt,dr5regw,7.0,0.0,5003530.0,F,0.0
155,Jeannie Berlin,1949-11-01,,,,"Actress, screenwriter","Los Angeles, California , U.S.",,,,,,,69.50998309342422,,,,,,,,,,,,,,2.0,,9q5ctr1,,10.0,,,F,
156,Crystal Bernard,1961-09-30,,,,"Singer-songwriter ,  actress","Garland, Texas ,  U.S.",,,,,,,57.59734970601723,,,,,,,,,,,,,,3.0,,9vg70zt,,9.0,,,F,
157,Sandra Bernhard,1955-06-06,Sara Switzer,1,Saguaro High School,"
 Actress 
 comedian 
 singer 
 author 
","Flint, Michigan , U.S.",,,,,,,63.91643907814671,,,,,,,,1.0,,,,,,4.0,,dpskxwh,,5.0,,,F,
158,Halle Berry,1966-08-14,David Justice ( m.  1993;  div.  1997) Eric Benét ( m.  2001;  div.  2005) Olivier Martinez ( m.  2013;  div.  2016),2,,Actress,"Cleveland ,  Ohio , U.S.",,,,,,,52.72661314058468,,"['David Justice', 'Eric Benét', 'Olivier Martinez']","[1993, 2001, 2013]","[1997, 2005, 2016]",,,,2.0,,"['David Justice', 'Eric Benét', 'Olivier Martinez']",3.0,,,1.0,,dpmuhfx,,7.0,,,F,1.0
159,Valerie Bertinelli,1960-04-23,Eddie Van Halen ( m.  1981;  div.  2007)   Tom Vitale  ( m.  2011),Wolfgang Van Halen,,"Actress,  spokesperson","Wilmington, Delaware , U.S.",1955-01-26,"Amsterdam , Netherlands",Musician songwriter producer arranger guitarist,Valerie Bertinelli ( m.  1981;  div.  2007) Janie Liszewski ( m.  2009),Wolfgang Van Halen,5.240354011376003,59.034750884686204,64.2751048960622,"['Eddie Van Halen', 'Tom Vitale']","[1981, 2011]",[2007],"['Valerie Bertinelli', 'Janie Liszewski']","[1981, 2009]",[2007],,,"['Eddie Van Halen', 'Tom Vitale']",2.0,"['Valerie Bertinelli', 'Janie Liszewski']",2.0,2.0,5.0,dr460g7,u173zt6,4.0,1.0,20000000.0,F,1.0
160,Angela Bettis,,,,,"Actress, producer, director",,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,F,
161,Troy Beyer,1964-11-07,Mark Burg  (1994–2000),,,"Psychologist, Author, Director, Screenwriter","New York City , U.S.",,,,,,,54.49256316009227,,,,,,,,,,,,,,4.0,,dr5regw,,10.0,,,F,
162,Mayim Bialik,1975-12-12,Michael Stone ( m.  2003;  div.  2012),2,,"Actress, neuroscientist, author","San Diego ,  California , U.S.",,,,,,,43.398563967774834,,['Michael Stone'],[2003],[2012],,,,2.0,,['Michael Stone'],1.0,,,3.0,,9mudjgt,,11.0,,,F,1.0
163,Leslie Bibb,1974-11-17,Rob Born ( m.  2003;  div.  2004),,Saint Gertrude High School,"Actress, photomodel","Bismarck, North Dakota , U.S. [1]",,,,,,,44.46634770050035,,['Rob Born'],[2003],[2004],,,,,,['Rob Born'],1.0,,,2.0,,cb2662m,,10.0,,,F,1.0
164,Jessica Biel,1982-03-03,Justin Timberlake  ( m.   2012 ),1,Fairview High School,"
 Actress 
 model 
 producer 
 singer 
","Ely, Minnesota , U.S. [2]",1981-01-31,"Memphis, Tennessee , U.S.","
 Singer-songwriter 
 actor 
 dancer 
 record producer 
",Jessica Biel  ( m.  2012),1,1.084211174767449,37.17530134088996,38.259512515657406,['Justin Timberlake'],[2012],,['Jessica Biel'],[2012],,1.0,1.0,['Justin Timberlake'],1.0,['Jessica Biel'],1.0,4.0,5.0,,9ypzyyu,2.0,1.0,,F,0.0
165,Barbara Billingsley,1915-12-22,Glenn Billingsley ( m.  1941;  div.  1947) Roy Kellino ( m.  1953; died 1956) William Mortensen ( m.  1959; died 1981),2,Washington Preparatory High School,Actress,"Los Angeles , California, U.S.",,,,,,,103.3724169558581,,"['Glenn Billingsley', 'Roy Kellino', 'William Mortensen']","[1941, 1953, 1959]",[1947],,,,2.0,,"['Glenn Billingsley', 'Roy Kellino', 'William Mortensen']",3.0,,,1.0,,9q5ctr1,,0.0,,,F,1.0
166,Rachel Bilson,1981-08-25,Hayden Christensen  (2007–2017),1,,Actress,"Los Angeles, California , U.S.",,,,,,,37.695503672217775,,,,,,,,1.0,,,,,,1.0,,9q5ctr1,,8.0,,,F,
167,Traci Bingham,1968-01-13,Robb Vallier ( m.  1998),,,"Actress, model, television personality","North Cambridge, Massachusetts , U.S.",,,,,,,51.31111521797162,,['Robb Vallier'],[1998],,,,,,,['Robb Vallier'],1.0,,,4.0,,drt3jq0,,0.0,,,F,0.0
168,Thora Birch,1982-03-11,,,,"Actress, producer","Los Angeles ,  California , U.S.",,,,,,,37.15339808483405,,,,,,,,,,,,,,2.0,,9q5ctr1,,2.0,,,F,
169,Kerry Bishé,1984-05-01,,,Montclair Kimberley Academy,Actress,New Zealand,,,,,,,35.012354805369036,,,,,,,,,,,,,,1.0,,rbsr7dk,,4.0,,,F,
170,Summer Bishil,1988-07-17,,,,Actress,"Pasadena, California , U.S.",,,,,,,30.801453828620712,,,,,,,,,,,,,,1.0,,9q5fr83,,6.0,,,F,
171,Julie Bishop,1914-08-30,Walter Booth Brooks III ( m.  1936;  div.  1939) Clarence A. Shoop ( m.  1944; died 1968) William F. Bergin M.D.  ( m.  1968),"2, including  Pamela Susan Shoop",,Actress,"Denver ,  Colorado , U.S.",,,,,,,104.68387441220558,,"['Walter Booth Brooks III', 'Clarence A Shoop', 'William F Bergin M D']","[1936, 1944, 1968]",[1939],,,,2.0,,"['Walter Booth Brooks III', 'Clarence A Shoop', 'William F Bergin M D']",3.0,,,1.0,,9xj64fk,,8.0,,,F,1.0
172,Danielle Bisutti,1976-10-01,,,,"Actress, singer-songwriter, writer, producer","Los Angeles ,  California , U.S.",,,,,,,42.59361930772021,,,,,,,,,,,,,,4.0,,9q5ctr1,,9.0,,,F,
173,Karen Black,1939-07-01,Charles Black ( m.  1960) Robert Burton ( m.  1973–1974) L. M. Kit Carson  ( m.  1975–1983) Stephen Eckelberry  ( m.  1987–2013),"3, including  Hunter Carson",,"Actress, screenwriter, singer, composer","Park Ridge, Illinois , U.S.",,,,,,,79.84831995181284,,"['Charles Black', 'Robert Burton', 'L M Kit Carson', 'Stephen Eckelberry']","[1960, 1973, 1975, 1987]",,,,,3.0,,"['Charles Black', 'Robert Burton', 'L M Kit Carson', 'Stephen Eckelberry']",4.0,,,4.0,,dp3wcpu,,6.0,,,F,1.0
174,Sofia Black-D'Elia,1991-12-01,,,,Actress,"Clifton, New Jersey , U.S.",,,,,,,27.42835239601087,,,,,,,,,,,,,,1.0,,dr722q5,,11.0,,,F,
175,Joan Blackman,1938-05-17,Rockne Tarkington ( m.  1968;  div.  1970) Joby Baker ( m.  1959;  div.  1961),2,,Actress,"San Francisco, California , U.S.",1931-07-31,"Junction City, Kansas , United States",Actor,Joan Blackman ( m.  1968;  div.  1970),"Rockne Tarkington Jr. , Keith Tarkington, Ngai Tarkington",6.795485191345476,80.97086182467812,87.7663470160236,"['Rockne Tarkington', 'Joby Baker']","[1968, 1959]","[1970, 1961]",['Joan Blackman'],[1968],[1970],2.0,,"['Rockne Tarkington', 'Joby Baker']",2.0,['Joan Blackman'],1.0,1.0,1.0,9q8yyk8,9ygnh8c,4.0,7.0,5003530.0,F,1.0
176,Betsy Blair,1923-12-11,"March 13, 2009 (2009-03-13)  (aged 85) London , England",1,,Actress,"Cliffside Park ,  New Jersey , U.S.",1912-08-23,"Pittsburgh ,  Pennsylvania , US","Dancer, choreographer, director, actor, singer, producer","
 Betsy Blair ( m.  1941;  div.  1957) 
 Jeanne Coyne ( m.  1960; died 1973) 
 Patricia Ward  ( m.  1990) 
",3,11.299342217841572,95.40236965851454,106.70171187635611,,,,"['Betsy Blair', 'Jeanne Coyne', 'Patricia Ward']","[1941, 1960, 1990]",[1957],1.0,3.0,,,"['Betsy Blair', 'Jeanne Coyne', 'Patricia Ward']",3.0,1.0,6.0,dr72hr7,dppn59u,11.0,8.0,5003530.0,F,
177,Linda Blair,1959-01-22,,,,Actress producer activist,"St. Louis ,  Missouri , U.S.",,,,,,,60.28597438687995,,,,,,,,,,,,,,3.0,,9yzgery,,1.0,,,F,
178,Patricia Blair,1933-01-15,Martin S. Colbert (m. 1965–1993; divorced),,,"Film ,  television   actress","Fort Worth, Texas , U.S.",,,,,,,86.30430467429174,,,,,,,,,,,,,,4.0,,9vff34v,,0.0,,,F,
179,Selma Blair,1972-06-23,Ahmet Zappa ( m.  2004;  div.  2006),1,,Actress,"Southfield, Michigan , U.S.",,,,,,,46.86749214562927,,['Ahmet Zappa'],[2004],[2006],,,,1.0,,['Ahmet Zappa'],1.0,,,1.0,,dpscdhp,,6.0,,,F,1.0
180,Amanda Blake,1929-02-20,Don Whitman ( m.  1954;  div.  1955) Jason Day ( m.  1964;  div.  1967) Frank Gilbert ( m.  1967;  div.  1982) Mark Spaeth ( m.  1984; His death 1985),,,Actress,"Buffalo, New York , US",,,,,,,90.20582215925036,,"['Don Whitman', 'Jason Day', 'Frank Gilbert', 'Mark Spaeth']","[1954, 1964, 1967, 1984]","[1955, 1967, 1982]",,,,,,"['Don Whitman', 'Jason Day', 'Frank Gilbert', 'Mark Spaeth']",4.0,,,1.0,,dpxgvp4,,2.0,,,F,1.0
181,Susan Blakely,1948-09-07,Todd Merer  (m. 1969; div. 1981) Steve Jaffe (m. 1982–Present),,,Actress,"Frankfurt, Germany",,,,,,,70.6599040363594,,"['Todd Merer', 'Steve Jaffe']","[1969, 1982]",[1981],,,,,,"['Todd Merer', 'Steve Jaffe']",2.0,,,1.0,,u0yjjd6,,8.0,,,F,1.0
182,Ronee Blakley,1945-08-24,Wim Wenders ( m.  1979;  div.  1981),Sarah Blakley-Cartwright,,"Actress, singer","Nampa, Idaho , U.S.",1945-08-14,"Düsseldorf ,  Rhine Province , Germany","Filmmaker, director, screenwriter, playwright, author, photographer",Edda Köchl (1968–74) Lisa Kreuzer  (1974–78) Ronee Blakley  (1979–81) Isabelle Weingarten (1981–82) Donata Wenders ( m.  1993),,0.027379070069885075,73.69898081411665,73.72635988418654,['Wim Wenders'],[1979],[1981],['Edda Köchl'],[1993],,,,['Wim Wenders'],1.0,['Edda Köchl'],1.0,2.0,6.0,9rtpgt7,u1hg6js,8.0,7.0,20000000.0,F,1.0
183,Jolene Blalock,1975-03-05,Michael Rapino ( m.  2003),3,,"Actress, model","San Diego, California , U.S.",,,,,,,44.170653743745596,,['Michael Rapino'],[2003],,,,,3.0,,['Michael Rapino'],1.0,,,2.0,,9mudjgt,,2.0,,,F,0.0
184,Rowan Blanchard,2001-10-14,,,,Actress,"Los Angeles ,  California , U.S.",,,,,,,17.5581976358173,,,,,,,,,,,,,,1.0,,9q5ctr1,,9.0,,,F,
185,Tammy Blanchard,1976-12-14,,1,,Actress singer,"Bayonne, New Jersey , US",,,,,,,42.39101418920306,,,,,,,,1.0,,,,,,2.0,,dr5r37x,,11.0,,,F,
186,Alexis Bledel,1981-09-16,Vincent Kartheiser  ( m.  2014),1,,"Actress, model","Houston, Texas , U.S.",1979-05-05,"Minneapolis ,  Minnesota , U.S.",Actor,Alexis Bledel  ( m.  2014),1,2.368289561045059,37.63526971806402,40.00355927910908,['Vincent Kartheiser'],[2014],,['Alexis Bledel'],[2014],,1.0,1.0,['Vincent Kartheiser'],1.0,['Alexis Bledel'],1.0,2.0,1.0,9vk1mc9,9zvxvey,8.0,4.0,5003530.0,F,0.0
187,Yasmine Bleeth,1968-06-14,Paul Cerrito ( m.  2002),,,Actress,"New York City , U.S.",,,,,,,50.89221544590238,,['Paul Cerrito'],[2002],,,,,,,['Paul Cerrito'],1.0,,,1.0,,dr5regw,,5.0,,,F,0.0
188,Joan Blondell,1906-08-30,George Barnes ( m.  1933;  div.  1936) Dick Powell ( m.  1936;  div.  1944) Mike Todd ( m.  1947;  div.  1950),"2, including  Norman S. Powell",,Actress,"Manhattan ,  New York City , U.S.",1892-10-16,"Pasadena, California , U.S.",Cinematographer,Joan Blondell ( m.  1933;  div.  1936) Melba Marshal Kruger  ( m.  19??),4,13.867498990396792,112.68403868662601,126.5515376770228,"['George Barnes', 'Dick Powell', 'Mike Todd']","[1933, 1936, 1947]","[1936, 1944, 1950]",,,,2.0,4.0,"['George Barnes', 'Dick Powell', 'Mike Todd']",3.0,,,1.0,1.0,dr72h8r,9q5fr83,8.0,9.0,20000000.0,F,1.0
189,Nikki Blonsky,1988-11-09,,,,"Actress, singer, dancer","Great Neck, New York , U.S.",,,,,,,30.486594522817033,,,,,,,,,,,,,,3.0,,dr78478,,10.0,,,F,
190,Moon Bloodgood,1975-09-20,Grady Hall ( m.  2011;  div.  2018),2,,"Actress, model","Alliance, Nebraska , U.S.",,,,,,,43.62581024935488,,['Grady Hall'],[2011],[2018],,,,2.0,,['Grady Hall'],1.0,,,2.0,,9xqz7nu,,8.0,,,F,1.0
191,Verna Bloom,1938-08-07,Jay Cocks  ( m.  1969),,,Actress,"Lynn, Massachusetts , U.S.",,,,,,,80.74635345010506,,['Jay Cocks'],[1969],,,,,,,['Jay Cocks'],1.0,,,1.0,,drt99db,,7.0,,,F,0.0
192,Emily Blunt,1983-02-23,John Krasinski  ( m.  2010),2,,Actress,"Wandsworth ,  London , England",1979-10-20,"Boston , Massachusetts, U.S.",Actor filmmaker,Emily Blunt  ( m.  2010),2,3.345722362539956,36.19786853939506,39.54359090193502,['John Krasinski'],[2010],,['Emily Blunt'],[2010],,2.0,2.0,['John Krasinski'],1.0,['Emily Blunt'],1.0,1.0,2.0,gcpuez7,drt2zp2,2.0,9.0,20000000.0,F,0.0
193,Ann Blyth,1928-08-16,James McNulty ( m.  1953; died 2007),5,,"Actress, singer","Mount Kisco, New York , U.S.",,,,,,,90.7205486765642,,['James McNulty'],[1953],,,,,5.0,,['James McNulty'],1.0,,,2.0,,dr7d6m1,,7.0,,,F,0.0
194,Eleanor Boardman,1898-08-19,King Vidor ( m.  1926;  div.  1931) Harry d'Abbadie d'Arrast ( m.  1940; died 1968),2,,Actress,"Philadelphia, Pennsylvania , U.S.",1894-02-08,"Galveston, Texas , U.S.","Film director, producer, screenwriter",Florence Arto ( m.  1915;  div.  1924) Eleanor Boardman  ( m.  1926–1931) Elizabeth Hill (screenwriter)  ( m.  1932–1978),3,4.525760282552003,120.71158203111631,125.23734231366832,"['King Vidor', ""Harry d'Abbadie d'Arrast""]","[1926, 1940]",[1931],"['Florence Arto', 'Eleanor Boardman', 'Elizabeth Hill']","[1915, 1926, 1932]",[1924],2.0,3.0,"['King Vidor', ""Harry d'Abbadie d'Arrast""]",2.0,"['Florence Arto', 'Eleanor Boardman', 'Elizabeth Hill']",3.0,1.0,4.0,dr4e394,9vhwdy4,7.0,1.0,20000000.0,F,1.0
195,Mary Boland,1882-01-28,,,,Actress,"Philadelphia, Pennsylvania , U.S.",,,,,,,137.26770570237582,,,,,,,,,,,,,,1.0,,dr4e394,,1.0,,,F,
196,Beulah Bondi,1889-05-03,,,,Actress,"Chicago, Illinois , U.S.",,,,,,,130.0067763198423,,,,,,,,,,,,,,1.0,,dp3wjzt,,4.0,,,F,
197,Lisa Bonet,1967-11-16,Lenny Kravitz ( m.  1987;  div.  1993) Jason Momoa  ( m.  2017),3; including  Zoë Kravitz,Birmingham High School,Actress,"San Francisco ,  California , U.S.",1964-05-26,"New York City , New York, U.S.",Singer songwriter actor record producer,Lisa Bonet ( m.  1987;  div.  1993),Zoë Kravitz,3.474403991868416,51.46991382437695,54.94431781624537,"['Lenny Kravitz', 'Jason Momoa']","[1987, 2017]",[1993],['Lisa Bonet'],[1987],[1993],3.0,,"['Lenny Kravitz', 'Jason Momoa']",2.0,['Lisa Bonet'],1.0,1.0,5.0,9q8yyk8,dr5regw,10.0,5.0,20000000.0,F,1.0
198,Shirley Booth,1898-08-30,"Ed Gardner ( m.  1929;  div.  1942) William H. Baker, Jr. ( m.  1943; died 1951)",,P.S. 152,Actress,"Brooklyn ,  New York , U.S.",1901-06-29,"Astoria, New York","Actor, writer, and director",,,-2.8282579382191284,120.68146505403944,117.85320711582031,"['Ed Gardner', 'William H Baker Jr']","[1929, 1943]",[1942],,,,,,"['Ed Gardner', 'William H Baker Jr']",2.0,,,1.0,4.0,dr5rmm5,dr5rvuf,8.0,6.0,19545.0,F,1.0
199,Olive Borden,1906-07-14,Theodore Spector ( m.  1931; annulled 1932) John Moeller ( m.  1934;  div.  1941),,,,"Richmond, Virginia , U.S.",,,,,,,112.81272031595446,,"['Theodore Spector', 'John Moeller']","[1931, 1934]","[1932, 1941]",,,,,,"['Theodore Spector', 'John Moeller']",2.0,,,,,dq8vtfh,,6.0,,,F,1.0
200,Alex Borstein,1973-02-15,Jackson Douglas ( m.  1999;  div.  2014),2,,"Actress, writer, producer, comedian","Highland Park, Illinois , U.S.",,,,,,,46.218608184973,,['Jackson Douglas'],[1999],[2014],,,,2.0,,['Jackson Douglas'],1.0,,,4.0,,dp3xfnc,,1.0,,,F,1.0
201,Michelle Borth,1978-08-19,,,,Actress,"New York City ,  New York , U.S.",,,,,,,40.712677193919106,,,,,,,,,,,,,,1.0,,dr5regw,,7.0,,,F,
202,Samantha Boscarino,1994-12-26,,,,"Actress, singer","Ventura County ,  California , U.S.",,,,,,,24.35915864117675,,,,,,,,,,,,,,2.0,,9q578bv,,0.0,,,F,
203,Rachel Boston,1982-05-09,,,,Actress,"Chattanooga, Tennessee ,  U.S.",,,,,,,36.99186157142173,,,,,,,,,,,,,,1.0,,dn5r6ez,,4.0,,,F,
204,Kate Bosworth,1983-01-02,Michael Polish  ( m.  2013),,,"
 Actress 
 model 
","Los Angeles, California , U.S.",1970-10-30,"El Centro, California , U.S.","Screenwriters ,  film producers ,  film directors ,  actors",Michael:  Kate Bosworth  ( m.  2013),,12.175472460077893,36.34023970375846,48.515712163836355,['Michael Polish'],[2013],,['Michael: Kate Bosworth'],[2013],,,,['Michael Polish'],1.0,['Michael: Kate Bosworth'],1.0,2.0,9.0,9q5ctr1,9mvfd39,0.0,10.0,5003530.0,F,0.0
205,Barbara Bouchet,1943-08-15,Luigi Borghese ( m.  1974;  sep  2006),2,,Actress,"Reichenberg,  Sudetenland ,  Germany  (present-day  Liberec ,  Czech Republic )",,,,,,,75.72503199928815,,['Luigi Borghese'],[1974],[2006],,,,2.0,,['Luigi Borghese'],1.0,,,1.0,,u348yd1,,7.0,,,F,1.0
206,Julie Bovasso,,George Earl Ortman  (divorced),,,Actress,"Brooklyn, New York , U.S.",,,,,,,,,,,,,,,,,,,,,1.0,,dr5rmm5,,,,,F,
207,Clara Bow,1905-07-29,Rex Bell ( m.  1931; died 1962),2,,,"Brooklyn ,  New York City , U.S.",,,,,,,113.77098776840045,,['Rex Bell'],[1931],,,,,2.0,,['Rex Bell'],1.0,,,,,dr5rmm5,,7.0,,,F,0.0
208,Katrina Bowden,1988-09-19,Ben Jorgensen  ( m.  2013),,,Actress,"Wyckoff, New Jersey ,  U.S.",,,,,,,30.626227780173448,,['Ben Jorgensen'],[2013],,,,,,,['Ben Jorgensen'],1.0,,,1.0,,dr7321s,,8.0,,,F,0.0
209,Andrea Bowen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,
210,Julie Bowen,1970-03-03,Scott Phillips ( m.   2004 ;  div.  2018),3,Brown University,"Actress, model","Baltimore ,  Maryland , U.S.",,,,,,,49.175547752520586,,['Scott Phillips'],[2004],[2018],,,,3.0,,['Scott Phillips'],1.0,,,2.0,,dqcx88s,,2.0,,,F,1.0
211,Jessica Bowman,1980-11-26,,,,Actress,"Walnut Creek, California , U.S.",,,,,,,38.44021437811865,,,,,,,,,,,,,,1.0,,9q9pwm6,,11.0,,,F,
212,Jenna Boyd,1993-03-04,,,,Actress,"Bedford, Texas ,  U.S.",,,,,,,26.171653079803143,,,,,,,,,,,,,,1.0,,9vffv7n,,2.0,,,F,
213,Lara Flynn Boyle,1970-03-24,John Patrick Dee III ( m.  1996;  div.  1998) Donald Ray Thomas II  ( m.  2006),,,Actress,"Davenport, Iowa , US",,,,,,,49.11805170537383,,"['John Patrick Dee III', 'Donald Ray Thomas II']","[1996, 2006]",[1998],,,,,,"['John Patrick Dee III', 'Donald Ray Thomas II']",2.0,,,1.0,,9zrs4z5,,3.0,,,F,1.0
214,Lucy Boynton,1994-01-17,,,,Actress,"New York City , New York, U.S.",,,,,,,25.29826074457381,,,,,,,,,,,,,,1.0,,dr5regw,,0.0,,,F,
215,Lorraine Bracco,1954-10-02,"
 Daniel Guerard ( m.  1979;  div.  1982) 
 Edward James Olmos ( m.  1994;  div.  2002) 
",2,,Actress,"Brooklyn, New York , U.S.",,,,,,,64.59270210887287,,"['Daniel Guerard', 'Edward James Olmos']","[1979, 1994]","[1982, 2002]",,,,2.0,,"['Daniel Guerard', 'Edward James Olmos']",2.0,,,1.0,,dr5rmm5,,9.0,,,F,1.0
216,Alice Brady,1892-11-02,James L. Crane (m.1919–div.1922),1 [1],,Actress,"New York City , U.S.",,,,,,,126.50499325790399,,['James L Crane'],[1919],[1922],,,,,,['James L Crane'],1.0,,,1.0,,dr5regw,,10.0,,,F,1.0
217,Alexandra Breckenridge,1982-05-15,Alex Breckenridge,2,,"Actress, voice actress","Bridgeport, Connecticut , U.S.",,,,,,,36.97543412937979,,,,,,,,2.0,,,,,,3.0,,dr7fq83,,4.0,,,F,
218,Tracey Elizabeth Bregman,1963-05-29,Ronald Recht ( m.  1987;  div.  2010),2,,Actress,"Munich ,  West Germany  (now  Munich, Germany )",,,,,,,55.9381780597822,,['Ronald Recht'],[1987],[2010],,,,2.0,,['Ronald Recht'],1.0,,,1.0,,u281zd9,,5.0,,,F,1.0
219,Lucille Bremer,1917-02-21,Abelardo Louis Rodriguez ( m.  1948;  div.  1963),4,,Actress Dancer,"Amsterdam ,  Montgomery County ,  New York ,  U.S.",,,,,,,102.203330663874,,['Abelardo Louis Rodriguez'],[1948],[1963],,,,4.0,,['Abelardo Louis Rodriguez'],1.0,,,2.0,,drehrb8,,2.0,,,F,1.0
220,Eileen Brennan,1932-09-03,David John Lampson ( m.  1968;  div.  1974),2,,Actress,"Los Angeles , California, U.S.",,,,,,,86.6711842132282,,['David John Lampson'],[1968],[1974],,,,2.0,,['David John Lampson'],1.0,,,1.0,,9q5ctr1,,8.0,,,F,1.0
221,Amy Brenneman,1964-06-22,Brad Silberling  ( m.  1995),2,,"Actress, producer, writer","New London, Connecticut , U.S.",1963-09-08,"Washington D.C. , United States","Director, producer, screenwriter, actor",Amy Brenneman  ( m.  1995),2,0.7885172180126901,54.87039432705668,55.65891154506937,['Brad Silberling'],[1995],,['Amy Brenneman'],[1995],,2.0,2.0,['Brad Silberling'],1.0,['Amy Brenneman'],1.0,3.0,4.0,drker2d,dqcjqfz,6.0,8.0,5003530.0,F,0.0
222,Abigail Breslin,1996-04-14,,,,"Actress, singer","New York City ,  New York , U.S.",,,,,,,23.05865281285721,,,,,,,,,,,,,,2.0,,dr5regw,,3.0,,,F,
223,Jordana Brewster,1980-04-26,Andrew Form  ( m.  2007),2,,"Actress, model","Panama City ,  Panama",,,Film producer,Jordana Brewster  ( m.   2007 ),2,,39.026126477614184,,['Andrew Form'],[2007],,['Jordana Brewster'],[2007],,2.0,2.0,['Andrew Form'],1.0,['Jordana Brewster'],1.0,2.0,2.0,d1x7n7p,,4.0,,,F,0.0
224,Paget Brewster,1969-03-10,Steve Damstra ( m.   2014 ),,,Actress singer voice actress,"Concord, Massachusetts ,  United States",,,,,,,50.155718461022474,,['Steve Damstra'],[2014],,,,,,,['Steve Damstra'],1.0,,,4.0,,drt383t,,2.0,,,F,0.0
225,Chloe Bridges,1991-12-27,Adam DeVine  (2015–present),,,Actress,"Thibodaux, Louisiana , US",,,,,,,27.357166813829167,,,,,,,,,,,,,,1.0,,9vr3t20,,0.0,,,F,
226,Alison Brie,1982-12-29,Dave Franco  ( m.  2017),,,Actress,"Hollywood ,  California , U.S.",1985-06-12,"Palo Alto, California , U.S.",Actor,Alison Brie  ( m.  2017),,-2.453164678261703,36.35119133178642,33.89802665352471,['Dave Franco'],[2017],,['Alison Brie'],[2017],,,,['Dave Franco'],1.0,['Alison Brie'],1.0,1.0,1.0,9q5cgq7,9q9jh84,0.0,5.0,625441.0,F,0.0
