,name_m,bday_m,spouse_m,child_m,education_m,role_m,birthplace_m,bday_m_sp,birthplace_m_sp,role_m_sp,spouse_m_sp,child_m_sp,age_m_diff,age_m,age_m_spouse
2735,Cory Danziger,1977-02-07,,,,Actor,"Los Angeles County, California, United States",,,,,,,42.15555418660205,
2736,Marco Dominic Dapper,,,,,"Actor, model",,,,,,,,,
2737,Dexter Darden,1991-06-24,,,,Actor,"Camden, New Jersey, U.S.",,,,,,,27.781542399912386,
2738,Severn Darden,1929-11-09,,,,"Actor, comedian","New Orleans, Louisiana, U.S.",,,,,,,89.40361540620273,
2739,Frank Darien,1876-03-18,,,,Actor,"New Orleans, Louisiana, U.S.",,,,,,,143.04742739412856,
2740,Bobby Darin,1936-05-14,"December 20, 1973 (1973-12-20)  (aged 37) Los Angeles ,  California , U.S.",,,"
Singer
songwriter
actor
","East Harlem, New York City, U.S.",,,,,,,82.89287254358406,
2741,Christopher Dark,1920-04-21,"Eleanor Dark (married 1948–1971, his death)",1,,Actor,"The Bronx, New York, U.S.",,,,,,,98.95617295358564,
2742,James Darren,1936-06-08,Gloria Terlitsky ( m.  1955;  div.  1958) Evy Norlund  ( m.  1960),"3, including Jim Moret",,,"Philadelphia, Pennsylvania, U.S.",,,,,,,82.82442486840934,
2743,Frankie Darro,1917-12-22,Aloha Wray (divorced) Betty Marie ( m.  1943;  div.  1951) Dorothy Carroll ( m.  1951; his death 1976),1,,"Actor, stuntman","Chicago, Illinois, U.S.",,,,,,,101.28613181653286,
2744,Henry Darrow,1933-09-15,Lauren Levian Lucy Darrow,,,Actor,"New York City, New York, U.S.",,,,,,,85.55411815437688,
2745,John Darrow,1907-07-17,Charles Walters  (1936-1980) [1],,,Actor,"Leonia, New Jersey, U.S.",,,,,,,111.72029542016605,
2746,Tony Darrow,1938-10-01,,,,,"Brooklyn, New York",,,,,,,80.51089344750406,
2747,Dar Dash,,,,,"Actor, voice-over artist","Fairfax, Virginia, United States",,,,,,,,
2748,Steve Daskewisz,1944-03-14,,,,"Actor, stuntman",,,,,,,,75.05972059658994,
2749,Sabu Dastagir,1924-01-27,Marilyn Cooper ( m.  1948),"musician Paul Sabu and Jasmine Sabu, an animal trainer",,Actor,"Karapur, Mysore, Kingdom of Mysore, British India",,,,,,,95.18881291196945,
2750,David Dastmalchian,1984-07-21,,,DePaul University (BFA),Actor,"Pennsylvania, United States",,,,,,,34.70570922058632,
2751,Bryan Dattilo,1971-07-29,Jessica Denay ( m.  1999–2001) Elizabeth Cameron ( m.  2011),"Gabriel Dattilo (son, b. 1999)Delilah Dattilo (daughter, b. 2014)",Beverly Hills High SchoolSanta Monica College,Actor,"Kankakee, Illinois, U.S.",,,,,,,47.686126340718836,
2752,Brant Daugherty,1985-08-20,,,,Actor,"Mason, Ohio, U.S.",,,,,,,33.62423595282586,
2753,Herschel Daugherty,1910-11-27,,,,"Television and film director, actor","Clarks Hill, Indiana",,,,,,,108.35540770857718,
2754,James Daughton,1950-06-27,,,,Film actor,,,,,,,,68.77348610854432,
2755,Jareb Dauplaise,1979-03-18,,,,Actor,North Carolina,,,,,,,40.050103698227886,
2756,Richard Davalos,1930-11-05,Actor,Elyssa DavalosDominique Davalos,,Actor,"The Bronx, New York, U.S.",,,,,,,88.41523097667988,
2757,Harry Davenport,1866-01-19,Alice Davenport  (m.1893–div.1896)    Phyllis Rankin  (m.1896–1934; her death),Dorothy Davenport,,Actor,"Canton, Pennsylvania, U.S.",,,,,,,153.2078002970629,
2758,Kenneth Davenport,1879-02-20,,,,"film actor, screenwriter","Macon, Missouri",,,,,,,140.12060480365784,
2759,Brett Davern,1983-03-16,,,,Actor,"Edmonds, Washington, U.S.",,,,,,,36.055497375031656,
2760,Seamus Davey-Fitzpatrick,1998-12-29,,,,Actor,"New York City, New York, USA",,,,,,,20.265987665728932,
2761,John Davey,,,,,Actor,United States,,,,,,,,
2762,Robert Davi,1951-06-26,"
 Jeri McBride ( m.  1980;  div.  1990) 
 Christine Bolster ( m.  1990) 
",5,,Actorsingerwriterdirector,"Astoria, Queens, New York, U.S.",,,,,,,67.7768879580005,
2763,Keith David,1956-06-04,Dionne Lea Williams ( m.  2001),3,Juilliard School (BFA),"Actor, voice actor, comedian, singer","New York City, New York, U.S.",,,,,,,62.83496581038625,
2764,Thayer David,1927-03-04,Valerie French  (1970-1975),,,,"Medford, Massachusetts, U.S.",,,,,,,92.08950218005846,
2765,Adam Davidson,1964-08-13,,,,"Television director, film director, actor","Los Angeles, California, United States",,,,,,,54.643148045476636,
2766,Hugh Davidson,,Rachel Ramras,,,"Actor, voice actor, writer, producer, story editor",,,,,,,,,
2767,Jaye Davidson,1968-03-21,,,,"Actor, model","Riverside, California, U.S.",,,,,,,51.04006242427976,
2768,John Davidson,1886-12-25,,,,Actor,"New York, New York, USA",,,,,,,132.27650122863577,
2769,John Davidson,1941-12-13,Rhonda Rivera Davidson (married 1983–present) Jackie Miller (married 1969–1982),John Jr.JenniferAshleigh,,"Actor, singer, game show host","Pittsburgh, Pennsylvania, U.S.",,,,,,,77.31028015633449,
2770,Tommy Davidson,1963-11-10,,2,,"Actor, comedian","Rolling Fork, Mississippi, U.S.",,,,,,,55.40154828641245,
2771,William B. Davidson,1888-06-16,Helen Bolton,,,Actor,"Dobbs Ferry, New York, USA",,,,,,,130.80076935186895,
2772,Dan Davies,1965-12-25,,,,Actor; writer; producer,"Milwaukee, Wisconsin, U.S.",,,,,,,53.27693244898937,
2773,Geraint Wyn Davies,1957-04-20,"Alana Guinn (1985-2006, divorced; 2 children) Claire Lautier (2011-present)",,,"Actor, director","Swansea, Wales, UK",,,,,,,61.95883556814993,
2774,Jeremy Davies,1969-10-08,,,,Actor,"Traverse City, Michigan, U.S.",,,,,,,49.490407058324266,
2775,John S. Davies,,,,,,"Regensburg, Germany",,,,,,,,
2776,Lane Davies,1950-07-31,,2,,Actor,"Dalton, Georgia, U.S.",,,,,,,68.68039727030671,
2777,Timothy Davis-Reed,,,,,"Television actor,college instructor",,,,,,,,,
2778,Benjamin Byron Davis,1972-06-21,,,,"Actor, writer, director, acting coach","Boston, Massachusetts, U.S.",,,,,,,46.78809284242661,
2779,Brad Davis,1949-11-06,Susan Bluestein (1976–1991; his death),Alex (b. 1983),American Academy of Dramatic Arts,,"Tallahassee, Florida, U.S.",,,,,,,69.41141844117264,
2780,Clifton Davis,1945-10-04,Ann Taylor ( m.  1981–1991) Monica Durant ( m.  2000),,,"Actor, songwriter, singer, minister","Chicago, Illinois, U.S.",,,,,,,73.50185150961347,
2781,D'Mitch Davis,1941-07-15,,,,"Actor, musician","Shreveport, Louisiana, U.S.",,,,,,,77.72370411438976,
2782,Daniel Davis,1945-11-26,,,,Actor,"Gurdon, Arkansas, U.S.",,,,,,,73.35674243824309,
2783,Dave Davis,,,,,Actor,"Princeton, New Jersey, United States",,,,,,,,
2784,DeRay Davis,,,,,"Actor, comedian","Chicago, Illinois, U.S.",,,,,,,,
2785,Don S. Davis,1942-08-04,"June 29, 2008 (2008-06-29)  (aged 65) Gibsons, British Columbia , Canada",,,"Actor, painter, soldier","Aurora, Missouri, U.S.",,,,,,,76.66960991669917,
2786,Duane Davis,,,,,"Film, television actor","Cleveland, Ohio, USA",,,,,,,,
2787,Edwards Davis,,,,,Actor,"Santa Clara, California, United States",,,,,,,,
2788,Eric Davis,,,,,"Actor, comedian, director, writer, clown","Kansas, United States",,,,,,,,
2789,Eugene M. Davis,,,,,Film actor,,,,,,,,,
2790,George Davis,1889-11-07,,,,Actor,"Amsterdam, Netherlands",,,,,,,129.40717468531182,
2791,Jack Davis,1914-04-05,Josephine Davis,,,Actor,"Los Angeles, California, U.S.",,,,,,,105.00147162501625,
2792,Eric Da Re,1965-03-03,,,,Actor,"Los Angeles, California, U.S.",,,,,,,54.09009083006496,
2793,Howard Da Silva,1909-05-04,Jane Taylor (1936–1948)    Marjorie Nelson  (1949–1960)   Nancy Nutter (1961–1986) (his death),,,"Actor, singer","Cleveland, Ohio, U.S.",,,,,,,109.92149051657461,
2794,Luis Da Silva,1982-08-03,,,,"Actor, freestyle basketball pioneer, author, producer","Elizabeth, New Jersey, U.S.",,,,,,,36.67152645160407,
2795,Mark Dacascos,1964-02-26,Julie Condra  (1998–present),3,,"Actor, martial artist, television personality","Honolulu, Hawaii, U.S.",,,,,,,55.105854329657696,
2796,Matthew Daddario,1987-10-01,Esther Kim ( m.  2017),,,Actor,"New York City, New York, U.S.",,,,,,,31.510571743430734,
2797,Willem Dafoe,1955-07-22,Elizabeth LeCompte ( m.  1977;  div.  2004) Giada Colagrande  ( m.   2005 ),1,,Actor,"Appleton, Wisconsin, U.S.",,,,,,,63.705620238608596,
2798,Percy Daggs III,1982-07-20,,,,Actor,"Long Beach, California, U.S.",,,,,,,36.70985714970191,
2799,Steve Dahl,1954-11-20,,,,,"Pasadena, California, U.S.",,,,,,,64.37366954831379,
2800,Dan Dailey,1915-12-14,Esther Rodier (?–1941) Elizabeth Hofert (1942–1951) one child Gwen Carter O'Connor  (1955–1960),,,,"New York City, US",,,,,,,103.30944509469735,
2801,Bill Daily,1927-08-30,Patricia Anderson ( m.  1949;  div.  1976)     Vivian Sanchez ( m.  1980;  div.  1983) 1     Becky Daily ( m.  1993; her death 2010),3,Lane Tech College Prep High School,"Actor, comedian","Des Moines, Iowa, U.S.[1]",,,,,,,91.59941682580751,
2802,Ian Anthony Dale,1978-07-03,Nicole Garippo ( m.   2016 ),1,,Actor,"Saint Paul, Minnesota, U.S.",,,,,,,40.75648370603093,
2803,James Badge Dale,1978-05-01,,,,Actor,"Manhattan, New York City, U.S.",,,,,,,40.9289718474712,
2804,Jim Dale,1935-08-15,Patricia Dale ( m.  1957;  div.  1977)   Julia Schafler ( m.  1980),4,,Actorlyricistsingercomedianvoice actor,"Rothwell, Northamptonshire, England, UK",,,,,,,83.64032115649192,
2805,John Francis Daley,1985-07-20,Corinne Kingsbury ( m.   2016 ),,,Actorscreenwriterfilm directorcomedian,"Wheeling, Illinois, U.S.",,,,,,,33.7091110700425,
2806,John Dall,1920-05-26,,,,Actor,"New York City, U.S.",,,,,,,98.86034620834103,
2807,Josh Dallas,1978-12-18,Lara Pulver ( m.  2007;  div.  2011)     Ginnifer Goodwin  ( m.  2014),2,,Actor,"Louisville, Kentucky, U.S.",1980-09-01,"Southend-on-Sea, Essex, England",Actress,Josh Dallas ( m.  2007;  div.  2011)   Raza Jaffrey  ( m.  2014),1,-1.7057160653538403,40.296515328856856,38.590799263503015
2808,Matt Dallas,1982-10-21,Blue Hamilton ( m.  2015),1,,Actor,"Phoenix, Arizona, United States",,,,,,,36.455231798051976,
2809,Joe Dallesandro,1948-12-31,"
 Leslie ( m.  1967;  div.  1969) 
 Theresa ( m.  1970;  div.  1978) 
 Kim Dallesandro ( m.  1987) 
",2,,"
Actor
model
","Pensacola, Florida, U.S.",,,,,,,70.26016961333909,
2810,Brett Dalton,1983-01-07,Melissa Trn ( m.  2015),1,"University of California, Berkeley (BA)Yale University (MFA)",Actor,"San Jose, California, U.S.",,,,,,,36.241675051506874,
2811,Britain Dalton,,,,,Actor,,,,,,,,,
2812,Darren Dalton,1965-02-09,Kristen Dalton  (1993–2009),,,"Film, television actor, writer","Powell, Wyoming, United States",,,,,,,54.150324784218704,
2813,Emmett Dalton,1871-05-03,Bank robbery,,,"Real estate agent, author and actor","Belton, Missouri, United States",,,,,,,147.9236397735751,
2814,Tony Dalton,1975-02-13,,,,"Actor, screenwriter, director, and producer","Laredo, Texas, United States",,,,,,,44.14053676666872,
2815,Andy Daly,1971-04-15,Carri Levinson ( m.  2004),5,,"Actor, comedian, writer","Mount Kisco, New York, U.S.",,,,,,,47.97360657645263,
2816,James Daly,1918-10-23,Hope Newell ( m.  1942–1965),4,,Actor,"Wisconsin Rapids, Wisconsin, U.S.",,,,,,,100.45107017940136,
2817,Sam Daly,1984-03-24,Marissa Bataille ( m.  2015),1,,Film and TV actor,"Providence, Rhode Island, U.S.",,,,,,,35.031520154417954,
2818,Tim Daly,1956-03-01,Amy Van Nostrand ( m.  1982;  div.  2010),"2, including Sam Daly",,"Actor, producer","Manhattan, New York City, U.S.",1953-04-11,"Providence, Rhode Island, United States",Actress,Tim Daly  ( m.  1982–2010),"2, including Sam Daly",2.8884918923728757,63.095066976050155,65.98355886842303
2819,Bill Damaschke,1963-11-20,,,,Film producer,"Chicago, Illinois, U.S.[1]",,,,,,,55.374169216342565,
2820,Michael Damian,1962-04-26,,,,"Actor, recording artist and producer","Bonsall, California",,,,,,,56.94298993134698,
2821,Nick Damici,,,,,"Actor, screenwriter",United States,,,,,,,,
2822,Gabriel Damon,1976-04-23,,,,"Actor, producer & real estate agent","Reno, Nevada, U.S.",,,,,,,42.949547218628716,
2823,Grey Damon,1987-09-24,,,,Actor,"Bloomington, Indiana, U.S.",,,,,,,31.529737092479653,
2824,Mark Damon,1933-04-22,Barbara Frey (1971-1973) Margaret Markov  (1974-present; 2 children),,,"Film actor, producer","Chicago, Illinois, U.S.",,,,,,,85.95385257739721,
2825,Matt Damon,1970-10-08,Luciana Bozán Barroso ( m.   2005 ),3,,"Actor, filmmaker, producer with Pearl Street Films, screenwriter","Cambridge, Massachusetts, U.S.",,,,,,,48.49107100077346,
2826,Stuart Damon,1937-02-05,Deirdre Damon (m. 1961),3,,,"Brooklyn, New York, U.S.",,,,,,,82.16185137271813,
2827,Mike Damus,1979-09-30,,,,Actor,"Queens, New York,  U.S.",,,,,,,39.51347392485814,
2828,Rod Dana,1934-08-08,,,,Actor,"Vernal, Utah",,,,,,,84.65882256309165,
2829,Malcolm Danare,1962-06-15,,,,"Actor, voice actor","Los Angeles, California",,,,,,,56.80609458099756,
2830,Eric Dane,1972-11-09,Rebecca Gayheart ( m.  2004;  sep.  2018),2,,Actor,"San Francisco, California, U.S.",1971-08-12,"Hazard, Kentucky, U.S.","Actress, model",Eric Dane ( m.  2004;  sep.  2018),2,1.2457476881797709,46.40204795444123,47.647795642621
2831,Karl Dane,1886-10-12,Carla Dagmar Hagen ( m.  1910;  div.  1919) Helen Benson ( m.  1921; died 1923) Emma Awilda Peabody ( m.  1924;  div.  1924),3,,"Actor, comedian","Copenhagen, Denmark",,,,,,,132.4791063471529,
2832,Cory Dangerfield,,,,,Actor,,,,,,,,,
2833,Steven Daniel,,,,,ActorMusician,"Hartford, Connecticut, United States",,,,,,,,
2834,Dee Jay Daniels,1988-10-17,N/A,,,Actor,"Montclair, California, U.S.",,,,,,,30.464691266761125,
2835,Jeff Daniels,1955-02-19,Kathleen Rosemary Treado ( m.  1979),3,,"
Actor
musician
playwright
","Clarke County, Georgia, U.S.",,,,,,,64.12452001067784,
2836,John Daniels,,Gwen Briscoe,,,Actorsongwriterproducer,"Gary, Indiana, U.S.",,,,,,,,
2837,Kevin Daniels,1976-12-09,,,Juilliard School (BFA),Actor,"San Diego, California, U.S.",,,,,,,42.319828607021364,
2838,Lee Daniels,1959-12-24,,2,,"Film and television writer, director, producer","Philadelphia, Pennsylvania, U.S.",,,,,,,59.28116251531517,
2839,Mickey Daniels,1914-10-11,,,,Actor,"Rock Springs, Wyoming, U.S.",,,,,,,104.48400720069543,
2840,Richard Daniels,,,,,,,,,,,,,,
2841,Spencer Daniels,1992-12-23,,,,Actor,"Tarzana, Los Angeles, California, United States",,,,,,,26.281169360082686,
2842,James Dannaldson,,Beth Marie Dannaldson,,,motion picture actor,"Omaha, Nebraska",,,,,,,,
2843,Paul Dano,1984-06-19,Zoe Kazan  (2007–present),1,,Actordirectorscreenwriterproducersingermusician,"New York City, U.S.",,,,,,,34.79332224480996,
2844,Royal Dano,1922-11-16,,2,,Actor,"New York City, U.S.",,,,,,,96.38527827402342,
2845,Cesare Danova,1926-03-01,Pamela Matthews (1955–1963) (divorced) 2 children Patricia Chandler (1977–1992) (his death),,,Actor,"Rome, Italy",,,,,,,93.09705195863023,
2846,Ted Danson,1947-12-29,Randall Gosch ( m.  1970;  div.  1975) Cassandra Coates ( m.  1977;  div.  1993) Mary Steenburgen  ( m.  1995),2,Stanford UniversityCarnegie Mellon University (BFA),"Actor, producer","San Diego, California, U.S.",,,,,,,71.26771939191086,
2847,Michael Dante,1931-09-02,Mary Jane (unknown date),,,Actor,"Stamford, Connecticut, U.S.",,,,,,,87.59112096757633,
2848,Peter Dante,1968-12-16,Cynthia Pett-Dante,Jake Dante and Lucas Dante,,Actor,"West Hartford, Connecticut, U.S.",,,,,,,50.300827532392866,
2849,Helmut Dantine,1918-10-07,"Gwen Anderson (?-1943) Charlene S. Wrightsman (1947–1950) one son Nicola ""Niki"" Dantine (?-1982; his death) three daughters",,,Actor,"Vienna, Austria-Hungary",,,,,,,100.49487669151317,
2850,Ray Danton,1931-09-19,Julie Adams ( m.  1954;  div.  1981),2,,"Actor, director, producer","New York City, U.S.",1926-10-17,"Waterloo, Iowa, U.S.",Actress,Leonard Stern ( m.  1951;  div.  1953) Ray Danton ( m.  1954;  div.  1981),2,4.922756798565337,87.54457654845753,92.46733334702287
2851,Tony Danza,1951-04-21,Rhonda Yeoman ( m.  1970;  div.  1974) Tracy Robinson ( m.  1986;  div.  2013),4,,"Actor, singer, television personality, tap dancer, boxer, teacher","Brooklyn, New York, U.S.",,,,,,,67.95758982046175,
2852,Allen Danziger,1942-07-23,,,,Actor,"Boston, Massachusetts",,,,,,,76.70246480078305,
2853,Cory Danziger,1977-02-07,,,,Actor,"Los Angeles County, California, United States",,,,,,,42.15555418660205,
2854,Marco Dominic Dapper,,,,,"Actor, model",,,,,,,,,
2855,Dexter Darden,1991-06-24,,,,Actor,"Camden, New Jersey, U.S.",,,,,,,27.781542399912386,
2856,Severn Darden,1929-11-09,,,,"Actor, comedian","New Orleans, Louisiana, U.S.",,,,,,,89.40361540620273,
2857,Frank Darien,1876-03-18,,,,Actor,"New Orleans, Louisiana, U.S.",,,,,,,143.04742739412856,
2858,Bobby Darin,1936-05-14,"December 20, 1973 (1973-12-20)  (aged 37) Los Angeles ,  California , U.S.",,,"
Singer
songwriter
actor
","East Harlem, New York City, U.S.",,,,,,,82.89287254358406,
2859,Christopher Dark,1920-04-21,"Eleanor Dark (married 1948–1971, his death)",1,,Actor,"The Bronx, New York, U.S.",,,,,,,98.95617295358564,
2860,James Darren,1936-06-08,Gloria Terlitsky ( m.  1955;  div.  1958) Evy Norlund  ( m.  1960),"3, including Jim Moret",,,"Philadelphia, Pennsylvania, U.S.",,,,,,,82.82442486840934,
2861,Frankie Darro,1917-12-22,Aloha Wray (divorced) Betty Marie ( m.  1943;  div.  1951) Dorothy Carroll ( m.  1951; his death 1976),1,,"Actor, stuntman","Chicago, Illinois, U.S.",,,,,,,101.28613181653286,
2862,Henry Darrow,1933-09-15,Lauren Levian Lucy Darrow,,,Actor,"New York City, New York, U.S.",,,,,,,85.55411815437688,
2863,John Darrow,1907-07-17,Charles Walters  (1936-1980) [1],,,Actor,"Leonia, New Jersey, U.S.",,,,,,,111.72029542016605,
2864,Tony Darrow,1938-10-01,,,,,"Brooklyn, New York",,,,,,,80.51089344750406,
2865,Dar Dash,,,,,"Actor, voice-over artist","Fairfax, Virginia, United States",,,,,,,,
2866,Steve Daskewisz,1944-03-14,,,,"Actor, stuntman",,,,,,,,75.05972059658994,
2867,Sabu Dastagir,1924-01-27,Marilyn Cooper ( m.  1948),"musician Paul Sabu and Jasmine Sabu, an animal trainer",,Actor,"Karapur, Mysore, Kingdom of Mysore, British India",,,,,,,95.18881291196945,
2868,David Dastmalchian,1984-07-21,,,DePaul University (BFA),Actor,"Pennsylvania, United States",,,,,,,34.70570922058632,
2869,Bryan Dattilo,1971-07-29,Jessica Denay ( m.  1999–2001) Elizabeth Cameron ( m.  2011),"Gabriel Dattilo (son, b. 1999)Delilah Dattilo (daughter, b. 2014)",Beverly Hills High SchoolSanta Monica College,Actor,"Kankakee, Illinois, U.S.",,,,,,,47.686126340718836,
2870,Brant Daugherty,1985-08-20,,,,Actor,"Mason, Ohio, U.S.",,,,,,,33.62423595282586,
2871,Herschel Daugherty,1910-11-27,,,,"Television and film director, actor","Clarks Hill, Indiana",,,,,,,108.35540770857718,
2872,James Daughton,1950-06-27,,,,Film actor,,,,,,,,68.77348610854432,
2873,Jareb Dauplaise,1979-03-18,,,,Actor,North Carolina,,,,,,,40.050103698227886,
2874,Richard Davalos,1930-11-05,Actor,Elyssa DavalosDominique Davalos,,Actor,"The Bronx, New York, U.S.",,,,,,,88.41523097667988,
2875,Harry Davenport,1866-01-19,Alice Davenport  (m.1893–div.1896)    Phyllis Rankin  (m.1896–1934; her death),Dorothy Davenport,,Actor,"Canton, Pennsylvania, U.S.",,,,,,,153.2078002970629,
2876,Kenneth Davenport,1879-02-20,,,,"film actor, screenwriter","Macon, Missouri",,,,,,,140.12060480365784,
2877,Brett Davern,1983-03-16,,,,Actor,"Edmonds, Washington, U.S.",,,,,,,36.055497375031656,
2878,Seamus Davey-Fitzpatrick,1998-12-29,,,,Actor,"New York City, New York, USA",,,,,,,20.265987665728932,
2879,John Davey,,,,,Actor,United States,,,,,,,,
2880,Robert Davi,1951-06-26,"
 Jeri McBride ( m.  1980;  div.  1990) 
 Christine Bolster ( m.  1990) 
",5,,Actorsingerwriterdirector,"Astoria, Queens, New York, U.S.",,,,,,,67.7768879580005,
2881,Keith David,1956-06-04,Dionne Lea Williams ( m.  2001),3,Juilliard School (BFA),"Actor, voice actor, comedian, singer","New York City, New York, U.S.",,,,,,,62.83496581038625,
2882,Thayer David,1927-03-04,Valerie French  (1970-1975),,,,"Medford, Massachusetts, U.S.",,,,,,,92.08950218005846,
2883,Adam Davidson,1964-08-13,,,,"Television director, film director, actor","Los Angeles, California, United States",,,,,,,54.643148045476636,
2884,Hugh Davidson,,Rachel Ramras,,,"Actor, voice actor, writer, producer, story editor",,,,,,,,,
2885,Jaye Davidson,1968-03-21,,,,"Actor, model","Riverside, California, U.S.",,,,,,,51.04006242427976,
2886,John Davidson,1886-12-25,,,,Actor,"New York, New York, USA",,,,,,,132.27650122863577,
2887,John Davidson,1941-12-13,Rhonda Rivera Davidson (married 1983–present) Jackie Miller (married 1969–1982),John Jr.JenniferAshleigh,,"Actor, singer, game show host","Pittsburgh, Pennsylvania, U.S.",,,,,,,77.31028015633449,
2888,Tommy Davidson,1963-11-10,,2,,"Actor, comedian","Rolling Fork, Mississippi, U.S.",,,,,,,55.40154828641245,
2889,William B. Davidson,1888-06-16,Helen Bolton,,,Actor,"Dobbs Ferry, New York, USA",,,,,,,130.80076935186895,
2890,Dan Davies,1965-12-25,,,,Actor; writer; producer,"Milwaukee, Wisconsin, U.S.",,,,,,,53.27693244898937,
2891,Geraint Wyn Davies,1957-04-20,"Alana Guinn (1985-2006, divorced; 2 children) Claire Lautier (2011-present)",,,"Actor, director","Swansea, Wales, UK",,,,,,,61.95883556814993,
2892,Jeremy Davies,1969-10-08,,,,Actor,"Traverse City, Michigan, U.S.",,,,,,,49.490407058324266,
2893,John S. Davies,,,,,,"Regensburg, Germany",,,,,,,,
2894,Lane Davies,1950-07-31,,2,,Actor,"Dalton, Georgia, U.S.",,,,,,,68.68039727030671,
2895,Timothy Davis-Reed,,,,,"Television actor,college instructor",,,,,,,,,
2896,Benjamin Byron Davis,1972-06-21,,,,"Actor, writer, director, acting coach","Boston, Massachusetts, U.S.",,,,,,,46.78809284242661,
2897,Brad Davis,1949-11-06,Susan Bluestein (1976–1991; his death),Alex (b. 1983),American Academy of Dramatic Arts,,"Tallahassee, Florida, U.S.",,,,,,,69.41141844117264,
2898,Clifton Davis,1945-10-04,Ann Taylor ( m.  1981–1991) Monica Durant ( m.  2000),,,"Actor, songwriter, singer, minister","Chicago, Illinois, U.S.",,,,,,,73.50185150961347,
2899,D'Mitch Davis,1941-07-15,,,,"Actor, musician","Shreveport, Louisiana, U.S.",,,,,,,77.72370411438976,
2900,Daniel Davis,1945-11-26,,,,Actor,"Gurdon, Arkansas, U.S.",,,,,,,73.35674243824309,
2901,Dave Davis,,,,,Actor,"Princeton, New Jersey, United States",,,,,,,,
2902,DeRay Davis,,,,,"Actor, comedian","Chicago, Illinois, U.S.",,,,,,,,
2903,Don S. Davis,1942-08-04,"June 29, 2008 (2008-06-29)  (aged 65) Gibsons, British Columbia , Canada",,,"Actor, painter, soldier","Aurora, Missouri, U.S.",,,,,,,76.66960991669917,
2904,Duane Davis,,,,,"Film, television actor","Cleveland, Ohio, USA",,,,,,,,
2905,Edwards Davis,,,,,Actor,"Santa Clara, California, United States",,,,,,,,
2906,Eric Davis,,,,,"Actor, comedian, director, writer, clown","Kansas, United States",,,,,,,,
2907,Eugene M. Davis,,,,,Film actor,,,,,,,,,
2908,George Davis,1889-11-07,,,,Actor,"Amsterdam, Netherlands",,,,,,,129.40717468531182,
2909,Jack Davis,1914-04-05,Josephine Davis,,,Actor,"Los Angeles, California, U.S.",,,,,,,105.00147162501625,
2910,Jim Davis,1909-08-26,Blanche Hammerer ( m.  1945),1,,Actor,"Edgerton, Missouri, U.S.",,,,,,,109.60936911777792,
2911,Johnnie Davis,,,,,,"Brazil, Indiana, USA",,,,,,,,
2912,Kyle Davis,1978-07-09,April Chappell (2011–present),,,Actor,"Downey, California, U.S.",,,,,,,40.740056263989,
2913,LaVan Davis,1966-09-21,,,,"Actor, comedian, singer","Atlanta, Georgia",,,,,,,52.537697557102476,
2914,Lew Davis,1884-07-16,Kathryn West ( m.  1908–1948),,,Actor,"Buffalo, New YorkU.S.",,,,,,,134.71871427886953,
2915,Matthew Davis,1978-05-08,Kiley Casciano ( m.  2018),,,Actor,"Salt Lake City, Utah, U.S.",,,,,,,40.909806498422284,
2916,Ossie Davis,1917-12-18,"February 4, 2005 (2005-02-04)  (aged 87) Miami ,  Florida , U.S.","3, including Guy Davis",,"Actor, director, poet, playwright, author, activist","Cogdell, Clinch County, Georgia, U.S.",1922-10-27,"Cleveland, Ohio, U.S.","Actress, poet, playwright, screenwriter, journalist, activist",Frankie Dee Brown  (m.  c.  1941 ; div. 1945) Ossie Davis ( m.  1948; died 2005),"3, including Guy Davis",-4.857047030397613,101.29708344456081,96.44003641416319
2917,Owen Gould Davis Jr.,,Laina Muroni,,,actor,"New York, New York, U.S.",,,,,,,,
2918,Rufe Davis,1908-12-02,,,,Actor,"Vinson, Oklahoma, United States",,,,,,,110.34039028864385,
2919,Sammy Davis Jr.,1925-12-08,Loray White ( m.  1958;  div.  1960) May Britt ( m.  1960;  div.  1968) Altovise Davis  ( m.  1970),4,,"
Singer
dancer
actor
comedian
","Harlem, New York, U.S.",,,,,,,93.32429824021027,
2920,Sammy Davis Sr.,1900-12-12,Elvera Sanchez ( m.  1923;  div.  1928) Rita Wade Davis,"3, including Sammy Davis Jr.",,Dancer,"Wilmington, North Carolina, U.S.",1905-09-01,"New York City, New York, U.S.",,Sammy Davis Sr. ( m.  1923;  div.  1928),,-4.720151680048187,118.31317549299438,113.5930238129462
2921,Sid Davis,,"Norma Henkins (1941, widowed 1996)",,,Stand-in; educational film producer,"Chicago, Illinois",,,,,,,,
2922,Bruce Davison,1946-06-28,Jess Walton  (1972–1973; annulled) [2] [3] Lisa Pelikan  (1986–2006; 1 child) Michele Correy (2006–present; 1 child),Ethan Davison (b. 1996)Sophia Lucinda Davison (b. 2006),"Pennsylvania State University, University Park (BA)New York University (MFA)","Actor, director","Philadelphia, Pennsylvania, U.S.",,,,,,,72.77083033874754,
2923,Ken Davitian,1953-06-19,Ellen Davitian ( m.  1977),2 sons,,"Actor, comedian, restaurateur","Los Angeles, California, U.S.",,,,,,,65.79464328494083,
2924,Bennett Joshua Davlin,,,,,,"Opelousas, Louisiana, U.S.",,,,,,,,
2925,Hal K. Dawson,1896-10-17,,,,Actor,"Rockville, Connecticut",,,,,,,122.46384251558896,
